plot_id,loc_name,long_in_degrees,lat_in_degrees,start_date,end_date,climate_classification,depth_in_m,temp_degC_percentage_missing_values,no_of_data,net_no_of_data,daily_a_mean,daily_gm_mean,daily_median,daily_ninetieth_perc,weekly_a_mean,weekly_gm_mean,weekly_median,weekly_ninetieth_perc,biweekly_a_mean,biweekly_gm_mean,biweekly_median,biweekly_ninetieth_perc,monthly_a_mean,monthly_gm_mean,monthly_median,monthly_ninetieth_perc,annual_a_mean,annual_gm_mean,annual_median,annual_ninetieth_perc,contributor,database,study,spatial_blocks,duration_in_years
9.2,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,4/1/2001 5:20,3/15/2002 3:30,Tropical,2,37.49950102,50102,31314,0.427793696,0.489249926,0.42,0.812,0.991,0.877179672,0.86,1.77,1.344,1.235964013,1.21,2.114,1.781666667,1.674287862,1.81,2.224,6.3,6.3,6.3,6.3,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.953215373
9.3,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,3/18/2001 20:10,8/2/2005 23:40,Tropical,5,46.54983618,230134,123007,0.428475022,0.394576681,0.37,0.7,0.943393939,0.872050851,0.88,1.466,1.274047619,1.17043405,1.225,1.858,1.9,1.791753624,1.845,2.833,5.26,4.208009923,5.96,7.706,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
9.4,"Belize, Stann Creek, Cat Cay",-88.196906,16.651963,3/18/2001 20:10,8/2/2005 23:40,Tropical,10,49.83009899,230134,115458,0.31244087,0.317359685,0.35,0.48,0.756363636,0.690364488,0.71,1.217,1.085316456,0.97055724,1.09,1.67,1.609473684,1.48766651,1.405,2.646,4.702,3.803522354,4.34,7.226,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
10.1,"Belize, Stann Creek, Channel Cay",-88.13632,16.662761,3/18/2001 20:10,8/2/2005 23:40,Tropical,5,60.69985313,230134,90443,0.479802848,0.44923785,0.474,0.7296,1.022367424,0.975546949,0.93,1.4628,1.361522388,1.292842065,1.351,1.882,1.935171875,1.84578609,1.865,2.636,5.48725,5.393069736,5.2455,6.6716,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,4.378481735
10.2,"Belize, Stann Creek, Channel Cay",-88.13632,16.662761,3/18/2001 20:10,1/1/2005 9:40,Tropical,10,64.8898073,199378,70002,0.415891429,0.381017895,0.37,0.6514,0.908415842,0.85897971,0.89,1.31,1.235901961,1.16633356,1.21,1.73,1.83144,1.733723279,1.68,2.624,5.302,5.258711253,5.59,5.8588,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,3.793321918
11,"Belize, Stann Creek, Manatee Cay",-88.192316,16.666483,8/13/2000 4:50,7/5/2002 1:50,Tropical,5,55.72018777,99481,44050,1.117092652,0.921725687,1.13,2.04,2.016382979,1.666191649,2.35,3.266,2.434,2.071080632,2.46,3.804,3.258461538,2.664593723,3.72,5.47,6.99,6.488458985,6.99,9.07,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,1.892808219
12.1,"Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,3/18/2001 19:00,3/29/2003 0:50,Tropical,5,46.01955045,106596,57541,0.457672584,0.479966921,0.43,0.81,0.994520548,0.893762613,0.87,1.356,1.408378378,1.269292829,1.32,2.194,2.03,1.904744219,1.77,3.257,4.713333333,3.657097842,4.66,7.492,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,2.028063166
12.2,"Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,8/5/2000 19:10,3/18/2001 16:40,Tropical,10,0,32386,32386,1.244424779,1.137768357,1.19,1.96,2.49,2.332742437,2.47,3.074,3.168235294,2.940198164,2.93,4.666,4.20625,4.038477043,3.895,6.009,10.94,10.94,10.94,10.94,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,0.616152968
13,"Belize, Toledo, Sapodilla Cayes",-88.57228,16.19172,6/14/2002 14:30,11/12/2007 19:30,Tropical,5,12.41832447,164676,144226,0.702680723,0.649381895,0.68,1.04,1.381354167,1.331243964,1.36,1.889,1.766494845,1.70006719,1.73,2.344,2.325957447,2.229046065,2.33,3.302,5.153333333,4.496066595,5.84,7.49,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,5.417009132
14,"Belize, Toledo, Snake Cayes",-88.26666,16.108138,7/12/2002 12:30,12/10/2007 17:45,Tropical,5,0.570745468,137189,136406,0.53982531,0.498339622,0.502,0.832,1.119555085,1.074086218,1.076,1.558,1.46294211,1.40629977,1.427,1.9924,1.933303064,1.861804805,1.904,2.5678,5.256444467,4.913856471,5.2703334,7.088,Helmuth Brian,Same as PI,Helmuth Brian,spatial_block_1,5.417037671
25.1,China,117.4844444,23.65277778,7/1/2018 10:30,9/25/2018 9:30,Subtropical,4,14.73225103,4127,3519,0.727012987,0.591264664,0.68,1.198,1.824166667,1.591022122,1.575,3.331,2.408333333,2.312988758,2.11,3.325,3.343333333,3.217057353,3.08,4.296,4.6,4.6,4.6,4.6,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.235502283
25.2,China,117.4844444,23.65277778,7/1/2018 10:30,9/25/2018 9:30,Subtropical,7,5.573055488,4127,3897,0.743690476,0.639870237,0.69,1.234,1.869230769,1.748116578,1.65,3.198,2.361428571,2.186589683,2.31,3.264,3.793333333,3.739632162,3.54,4.46,4.69,4.69,4.69,4.69,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.235502283
25.3,China,117.4844444,23.65277778,7/1/2018 10:30,9/25/2018 9:30,Subtropical,11.5,14.73225103,4127,3519,0.761558442,0.625494049,0.72,1.296,1.884166667,1.656867035,1.66,3.347,2.488333333,2.405650545,2.23,3.34,3.45,3.327488901,3.26,4.388,4.67,4.67,4.67,4.67,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.235502283
26.1,China,117.5094444,23.6375,6/26/2019 11:20,5/30/2020 12:31,Subtropical,0,33.55724158,20693,13749,1.709586207,0.949873559,0.9,5.442,3.532173913,2.565928937,3.02,7.82,4.676666667,3.675916904,3.26,9.582,4.955,3.1532497,4.375,8.704,12.005,11.6531884,12.005,14.313,Dong Yunwei,Same as PI,Dong Yunwei,spatial_block_3,0.928902207
27,"Israel, Hadera Station",34.86307,32.47053,3/22/2011 8:01,6/10/2020 4:51,Subtropical,12,38.20003707,485510,300045,0.755604752,0.535790189,0.53059,1.65084992,1.715633443,1.397483491,1.4594808,3.16240768,2.361003904,2.013183077,2.0184994,3.847499,3.415803042,2.916050905,2.9762001,5.61636808,11.38504829,9.079408369,14.0258102,15.25211651,Guy-Haim Tamar,ISRAMAR,Guy-Haim Tamar,spatial_block_5,9.227035769
28,"Israel, Ashkelon Station",34.49917,31.63472,7/27/2012 4:50,6/10/2020 4:51,Subtropical,11,53.13989943,414026,194013,0.643593799,0.495938638,0.4920902,1.2800799,1.542696077,1.332162652,1.3379497,2.59332558,2.237408428,2.00082397,2.01902965,3.59792045,3.465236558,3.209346616,3.2278643,5.28924967,12.95308576,11.31761911,14.9519005,15.97338746,Guy-Haim Tamar,ISRAMAR,Guy-Haim Tamar,spatial_block_5,7.876714231
29,"South Africa, Tsitsikamma ",23.8997,-34.0228,6/29/1991 14:00,11/17/2015 11:00,Subtropical,10,0.04050672,207373,207289,1.22063527,0.728581538,0.69,3.03,3.681868932,2.586132561,2.675,8.09,5.017641357,3.813819777,4.25,9.956,6.637137931,5.492714114,6.42,11.461,12.582,11.9165611,13.3,14.422,Duncan Murray,Same as PI,Duncan Murray,spatial_block_7,24.40239726
30.1,"South Africa, Tsitsikamma ",23.8752,-34.0453,7/31/1997 8:00,12/31/2004 21:00,Subtropical,12,0.354162283,57036,56834,1.383762626,0.764793492,0.72,3.66,3.772228739,2.58009109,2.65,8.68,5.14245614,3.863413764,4.33,9.83,7.005375,5.893218641,6.725,11.457,13.0875,13.04573344,12.86,14.359,Duncan Murray,Same as PI,Duncan Murray,spatial_block_7,7.426141553
31,"South Africa, Mangold ",25.5867,-34.0487,1/28/1992 15:00,11/17/2005 10:00,Subtropical,5,5.6381096,95493,90109,1.413327128,0.948502289,0.83,3.351,4.21077634,3.21690498,3.4,8.9,5.408602941,4.395115367,4.76,10.19,6.799534884,5.748306338,6.68,11.54,12.38333333,12.26380326,12.905,13.753,Duncan Murray,Same as PI,Duncan Murray,spatial_block_7,13.81312785
32,"United Kingdom, English Channel",-4.13,50.15,3/17/2009 1:05,11/18/2019 10:05,Temperate,1.5,18.17568277,66677,54558,0.544544365,0.388337835,0.4,1.159,1.379712794,1.095100912,1.15,2.764,1.895153061,1.559181973,1.7,3.585,2.653723404,2.288983116,2.355,4.559,9.150909091,9.002344143,8.95,11.38,Queiros Ana,Western Channel Observatory,Queiros Ana,spatial_block_9,10.68059361
33.1,"Spain, Cap de Creus North (Portalo)",3.286557,42.33346,5/22/2007 18:00,6/28/2019 10:00,Temperate,5,17.06024869,106077,87980,0.602201253,0.428057499,0.383,1.2439,1.717960152,1.397090932,1.359,3.3676,2.457373585,2.085067408,1.959,4.7098,3.632849206,3.146198657,3.0595,6.64,10.98438462,10.58031392,11.386,14.2664,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,12.1086758
33.2,"Spain, Cap de Creus North (Portalo)",3.286557,42.33346,5/22/2007 18:00,6/28/2019 10:00,Temperate,10,9.800427991,106077,95681,0.704343437,0.454869234,0.41,1.54,1.911861888,1.481833378,1.387,3.9861,2.618080139,2.166980753,2.01,5.228,3.753551471,3.192508464,3.105,7.1115,11.24861538,10.86798574,12.074,13.932,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,12.1086758
34.1,"Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,5/23/2007 17:00,11/22/2018 13:00,Temperate,5,21.35007538,100824,79298,0.80450997,0.51896399,0.5,1.88,1.813762605,1.384970027,1.3805,3.5505,2.485863071,1.989535833,1.998,4.982,3.567130435,3.017984106,3.12,6.3756,11.77766667,11.53799591,12.1605,14.2167,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,11.50913242
34.2,"Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,5/23/2007 17:00,11/22/2018 13:00,Temperate,10,25.46020789,100824,75154,0.963891901,0.553164935,0.502,2.34,2.19885872,1.535280525,1.547,4.7934,2.914315789,2.198570426,2.1475,6.0336,4.099972477,3.398014679,3.699,7.494,11.51890909,11.31418704,11.471,14.213,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,11.50913242
35.1,"Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,7/18/2002 11:00,7/2/2019 10:00,Temperate,5,21.89974502,148641,116089,0.646629309,0.434704049,0.429,1.418,1.628698847,1.277022972,1.26,3.1869,2.287475645,1.885434356,1.8,4.4988,3.367,2.904548186,2.96,5.972,12.7974,12.74703746,12.7,14.576,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,16.96700913
35.2,"Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,7/18/2002 11:00,7/2/2019 10:00,Temperate,10,6.969813174,148641,138281,0.707700745,0.452169442,0.429,1.59,1.72670133,1.296881848,1.195,3.5566,2.391569712,1.886071102,1.74,4.9325,3.490474227,2.948684213,2.9345,6.9663,12.52388235,12.44278978,12.51,14.4492,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,16.96700913
36.1,"France, Riou Nature Reserve",5.389873,43.171963,6/24/1999 12:00,11/20/2017 9:00,Temperate,5,29.92997893,161380,113079,0.839093472,0.442666501,0.333,2.261,2.791503693,1.523562481,1.42,7.42,3.813885294,2.295469981,2.21,9.1802,5.05825,3.512000768,3.921,10.6435,12.70321429,12.60307398,13.123,13.9771,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,18.42157534
36.2,"France, Riou Nature Reserve",5.389873,43.171963,6/24/1999 12:00,11/20/2017 9:00,Temperate,10,1.309951667,161380,159266,0.860737096,0.445098324,0.33,2.3668,2.789790136,1.48621396,1.3,7.5516,3.774841004,2.235043048,2.285,8.9792,4.985875556,3.423841305,3.91,10.2884,12.56531579,12.5146536,12.8,13.6246,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,18.42157534
37.1,"France, Port-Cros National Park",6.377994,43.016405,6/17/1999 11:00,7/10/2018 9:00,Temperate,5,34.4897947,167119,109480,0.585011133,0.385221314,0.33,1.46,1.749497731,1.130268711,1.11,4.08,2.45942042,1.683851383,1.712,5.577,3.617094937,2.739544698,2.9715,7.0618,12.18886667,11.97730383,12.87,13.713,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,19.07648402
37.2,"France, Port-Cros National Park",6.377994,43.016405,6/17/1999 11:00,7/10/2018 9:00,Temperate,10,13.5998899,167119,144391,0.953674958,0.483915024,0.33,2.747,2.27515744,1.273115822,1.172,5.985,3.004422831,1.843010241,1.794,7.3909,4.133649952,2.893084892,3,8.6132,12.08705,11.94850088,12.455,13.596,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,19.07648402
38.1,"France, Scandola Nature Reserve",8.54635,42.3802,5/15/2004 12:00,10/24/2018 9:00,Temperate,5,22.36001295,126601,98293,0.723755296,0.433592185,0.429,1.78,1.831676223,1.259688501,1.34,3.9462,2.630026846,1.924891658,2.07,5.5011,3.85795,3.018423343,3.368,7.8313,12.738,12.12867483,13.58,15.2526,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,14.45171233
38.2,"France, Scandola Nature Reserve",8.54635,42.3802,5/15/2004 12:00,10/24/2018 9:00,Temperate,10,7.439909637,126601,117182,0.912936005,0.482701664,0.454,2.51,2.061267045,1.323762751,1.335,4.8792,2.828708215,1.983710743,2.195,6.188,4.069636364,3.128624043,3.577,7.9192,13.37266667,13.32589764,13.6,14.6128,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,14.45171233
49,"Tasmania, Bluff Hill Point",144.6082,-41.0041,5/31/2009 16:00,11/7/2011 13:00,Temperate,10,0,10680,10680,0.356452301,0.304066578,0.31,0.621,1.027734375,0.896646131,0.9405,1.6826,1.48246875,1.29974229,1.2405,2.6385,2.042766667,1.859882266,1.787,3.3738,5.450333333,5.147839903,5.94,6.9784,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,2.438013699
50,"Tasmania, Cape Grim",144.6793,-40.6697,3/2/2010 19:00,11/10/2013 16:30,Temperate,10,0,29584,29584,0.342332346,0.290741845,0.288,0.619,0.972010309,0.877065616,0.8765,1.6134,1.365463918,1.26349768,1.335,2.0234,2.053652174,1.905435143,2.012,2.9965,7.2,5.65697486,8.062,9.5898,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,3.695605023
51,"Tasmania, Granville Harbour",145.0001,-41.7778,11/8/2009 16:00,3/29/2012 13:00,Temperate,10,31.3264526,10464,7186,0.408678869,0.333208297,0.336,0.762,1.119862069,0.986884966,0.981,1.9496,1.464931818,1.298493993,1.356,2.2307,2.006909091,1.761760228,1.9565,3.4728,4.772666667,4.494669986,4.648,6.3656,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,2.38869863
52,"Tasmania, Cape Sorell",145.1781,-42.209,6/21/2005 17:08,2/20/2018 14:00,Temperate,11.7,0,63630,63630,0.467180395,0.387175324,0.388,0.842,1.169282092,1.062913023,1.037,1.907,1.539148734,1.41732947,1.347,2.5135,2.093136054,1.950206183,1.957,3.2436,6.138384615,6.045649677,6.104,7.4666,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,12.67635464
53,"Tasmania, Stanley Nut",145.3092,-40.764,9/13/2005 13:33,3/13/2012 14:00,Temperate,8,0,16344,16344,0.373141366,0.311376856,0.333,0.6765,1.063657895,0.95197024,0.9985,1.7139,1.501493506,1.359936245,1.446,2.1784,2.272833333,2.104361821,2.2745,3.3285,8.20375,7.036809387,9.338,11.1604,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,6.501421233
54,"Tasmania, Inner Saddle",145.8977,-43.3059,4/23/2008 21:00,4/21/2009 19:00,Temperate,10,0,4356,4356,0.331142857,0.230549278,0.2165,0.7022,0.996846154,0.880940097,0.845,1.7315,1.347538462,1.244685043,1.2075,2.1545,1.794461538,1.498930474,1.826,2.561,6.834,6.834,6.834,6.834,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,0.994292237
55,"Tasmania, New Harbour",146.154,-43.5184,3/9/2017 13:00,4/22/2018 14:00,Temperate,10,0,4909,4909,0.345856098,0.269230985,0.262,0.714,0.908389831,0.788984046,0.752,1.5868,1.306366667,1.163500762,1.1095,2.1484,1.870642857,1.681682776,1.715,2.8915,4.8435,4.253624337,4.8435,6.6967,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,1.1206621
56,"Tasmania, Mouldies Hole",146.9199,-43.5939,2/24/2005 16:00,12/11/2017 13:00,Temperate,6,0.585840349,54281,53963,0.334037883,0.238885181,0.242,0.691,0.830968932,0.58583383,0.697,1.5026,1.130525097,0.82923208,0.944,1.9884,1.526959016,1.255772882,1.3595,2.7941,5.514727273,5.362178198,5.45,6.93,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,12.80239726
57,"Tasmania, George III Reef",146.9831,-43.5085,5/31/2006 20:00,3/18/2019 13:00,Temperate,10.2,21.33346292,61734,48564,0.270472377,0.22915198,0.218,0.4527,0.709724806,0.640255611,0.643,1.121,0.984257692,0.889126487,0.8655,1.4972,1.389655738,1.288984697,1.3405,2.1342,5.452923077,5.26116821,5.797,6.6842,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,12.80468037
58,"Tasmania, Hogan Island",146.9962,-39.2099,4/10/2008 21:00,6/4/2017 18:59,Temperate,10,0,40105,40105,0.284442417,0.213340872,0.214,0.429,0.705115063,0.581129932,0.548,1.189,1.001104603,0.858153651,0.79,1.7428,1.551589286,1.37500331,1.388,2.3042,6.5707,6.20426898,6.9775,7.9388,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_14,9.15593417
59,"Tasmania, One Tree Point",147.3866,-43.1087,1/30/2006 16:58,12/17/2012 13:00,Temperate,8,0,36899,36899,0.56924493,0.393566869,0.382,1.2966,1.3698,1.163477428,1.213,2.6174,1.754480663,1.547024514,1.638,3.177,2.435035294,2.256816473,2.402,3.7938,8.648,8.619361955,8.799,9.1505,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,6.884478691
60,"Tasmania, Iron Pot",147.4167,-43.053,12/4/2006 19:10,2/23/2015 15:00,Temperate,9,0.046312095,41026,41007,0.757503161,0.59234259,0.586,1.523,1.574225581,1.40668292,1.391,2.6231,2.003855814,1.842079142,1.895,3.1468,2.714940594,2.583433397,2.647,4.055,8.5906,8.045697669,9.667,10.1428,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,8.226921613
61,"Tasmania, Wedge Island",147.6753,-43.1273,5/16/2005 14:55,2/8/2012 14:00,Temperate,10.2,0,45025,45025,0.404466328,0.318453437,0.311,0.7743,1.100967846,0.982341487,0.988,1.806,1.518503185,1.400191443,1.356,2.4034,2.170554054,1.976317943,2.1815,2.9423,7.498125,6.898677094,8.637,9.3746,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,6.736881659
62,"Tasmania, Tasman Island",148.0067,-43.2324,1/11/2006 11:29,11/3/2012 11:45,Temperate,12,0,27215,27215,0.444809111,0.315663919,0.289,0.928,1.11406015,0.899081325,0.824,2.0086,1.447447761,1.214153275,1.113,2.6894,1.98559375,1.610347286,1.699,3.112,6.52575,5.861102128,6.7915,9.1758,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,6.816468798
63,"Tasmania, Cape Peron",148.0126,-42.7432,5/2/2005 18:31,10/4/2017 12:00,Temperate,12,0,64876,64876,0.547159877,0.403330857,0.409,1.143,1.180933948,1.030055475,1.012,2.133,1.486769939,1.3461625,1.3355,2.5445,2.035104575,1.864720761,1.927,3.1376,7.237,7.164061215,7.198,8.3764,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,12.4321328
64,"Tasmania, Magistrates Point",148.0506,-42.586,6/21/2004 18:05,10/4/2017 14:00,Temperate,10.1,23.45083361,58241,44583,0.512606672,0.39534074,0.385,1.033,1.32087782,1.183342705,1.2005,2.1968,1.69105618,1.558044858,1.588,2.6616,2.340368,2.199442634,2.197,3.3772,7.467416667,7.093177214,8.0075,8.926,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,13.29542428
65,"Tasmania, Swansea",148.0925,-42.1239,5/3/2005 14:32,2/20/2012 15:14,Temperate,8.3,0,23048,23048,0.428248489,0.339610429,0.343,0.7674,1.358785047,1.194032992,1.225,1.9726,1.921296296,1.678564399,1.6785,2.5182,3.004568627,2.610248523,2.521,3.878,11.5245,9.109300118,11.5595,16.827,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,6.805559361
66,"Tasmania, Franklin Sound",148.263,-40.2288,5/17/2011 23:00,7/16/2016 5:00,Temperate,8,0,22636,22636,0.511899894,0.443629051,0.454,0.88,1.42877037,1.297488245,1.348,2.2648,2.016644444,1.875650236,1.95,3.0824,2.886634921,2.737026781,2.788,4.2422,10.12833333,9.548609808,11.171,12.1255,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_14,5.167808219
67,"Tasmania, Hazards Beach",148.2844,-42.1916,5/3/2005 14:42,6/18/2019 18:00,Temperate,6.5,8.389597803,61910,56716,0.425549492,0.358948682,0.368,0.7603,1.228426883,1.132076312,1.14,1.8804,1.729569322,1.637699921,1.688,2.4824,2.564628931,2.457566775,2.502,3.4866,9.512066667,7.440041397,10.745,11.5518,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,14.13462329
68,"Tasmania, Schouten Island",148.2903,-42.2807,1/14/2007 19:00,2/20/2012 17:00,Temperate,12,0,22368,22368,0.982722639,0.721428358,0.703,2.237,1.905898876,1.664926985,1.707,3.2878,2.317298507,2.102630546,2.2415,3.7297,2.973349206,2.812946367,2.78,4.3894,8.71,8.396138888,9.327,10.2555,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,5.103881279
69,"Tasmania, Coles Bay",148.2962,-42.1342,1/14/2007 21:00,4/9/2019 20:00,Temperate,6,0,53633,53633,0.452213694,0.372597177,0.381,0.8142,1.352901408,1.24461866,1.238,2.0736,1.916534375,1.808052014,1.812,2.8025,2.836395973,2.69752606,2.835,3.8934,11.07184615,10.95461298,11.499,11.9744,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,12.24098174
