plot_id,loc_name,long_in_degrees,lat_in_degrees,start_date,end_date,climate_classification,depth_in_m,temp_degC_percentage_missing_values,no_of_data,net_no_of_data,daily_a_mean,daily_gm_mean,daily_median,daily_ninetieth_perc,weekly_a_mean,weekly_gm_mean,weekly_median,weekly_ninetieth_perc,biweekly_a_mean,biweekly_gm_mean,biweekly_median,biweekly_ninetieth_perc,monthly_a_mean,monthly_gm_mean,monthly_median,monthly_ninetieth_perc,annual_a_mean,annual_gm_mean,annual_median,annual_ninetieth_perc,contributor,database,study,spatial_blocks,duration_in_years
31,"South Africa, Mangold ",25.5867,-34.0487,1/28/1992 15:00,11/17/2005 10:00,Subtropical,5,5.6381096,95493,90109,4.47E-08,3.06E-08,2.84E-08,1.00E-07,1.31E-07,1.01E-07,1.06E-07,2.75E-07,1.67E-07,1.36E-07,1.40E-07,3.25E-07,1.67E-07,1.36E-07,1.40E-07,3.25E-07,1.67E-07,1.36E-07,1.40E-07,3.25E-07,Duncan Murray,Same as PI,Duncan Murray,spatial_block_7,13.81312785
32,"United Kingdom, English Channel",-4.13,50.15,3/17/2009 1:05,11/18/2019 10:05,Temperate,1.5,18.17568277,66677,54558,1.41E-08,9.37E-09,9.71E-09,3.21E-08,3.57E-08,2.64E-08,2.69E-08,7.75E-08,4.92E-08,3.75E-08,3.74E-08,9.88E-08,4.92E-08,3.75E-08,3.74E-08,9.88E-08,4.92E-08,3.75E-08,3.74E-08,9.88E-08,Queiros Ana,Western Channel Observatory,Queiros Ana,spatial_block_9,10.68059361
33.1,"Spain, Cap de Creus North (Portalo)",3.286557,42.33346,5/22/2007 18:00,6/28/2019 10:00,Temperate,5,17.06024869,106077,87980,2.07E-08,1.30E-08,1.16E-08,4.61E-08,5.80E-08,4.24E-08,3.85E-08,1.26E-07,8.30E-08,6.32E-08,5.64E-08,1.79E-07,8.30E-08,6.32E-08,5.64E-08,1.79E-07,8.30E-08,6.32E-08,5.64E-08,1.79E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,12.1086758
33.2,"Spain, Cap de Creus North (Portalo)",3.286557,42.33346,5/22/2007 18:00,6/28/2019 10:00,Temperate,10,9.800427991,106077,95681,2.42E-08,1.37E-08,1.19E-08,5.68E-08,6.43E-08,4.42E-08,3.83E-08,1.57E-07,8.75E-08,6.46E-08,5.61E-08,2.07E-07,8.75E-08,6.46E-08,5.61E-08,2.07E-07,8.75E-08,6.46E-08,5.61E-08,2.07E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,12.1086758
34.1,"Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,5/23/2007 17:00,11/22/2018 13:00,Temperate,5,21.35007538,100824,79298,3.08E-08,1.66E-08,1.50E-08,8.17E-08,6.79E-08,4.43E-08,4.19E-08,1.50E-07,9.22E-08,6.37E-08,6.17E-08,2.08E-07,9.22E-08,6.37E-08,6.17E-08,2.08E-07,9.22E-08,6.37E-08,6.17E-08,2.08E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,11.50913242
34.2,"Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,5/23/2007 17:00,11/22/2018 13:00,Temperate,10,25.46020789,100824,75154,3.75E-08,1.81E-08,1.68E-08,9.89E-08,8.33E-08,4.98E-08,4.76E-08,2.01E-07,1.09E-07,7.12E-08,7.09E-08,2.50E-07,1.09E-07,7.12E-08,7.09E-08,2.50E-07,1.09E-07,7.12E-08,7.09E-08,2.50E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,11.50913242
35.1,"Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,7/18/2002 11:00,7/2/2019 10:00,Temperate,5,21.89974502,148641,116089,2.41E-08,1.38E-08,1.26E-08,5.82E-08,5.98E-08,4.02E-08,3.72E-08,1.35E-07,8.35E-08,5.94E-08,5.62E-08,1.90E-07,8.35E-08,5.94E-08,5.62E-08,1.90E-07,8.35E-08,5.94E-08,5.62E-08,1.90E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,16.96700913
35.2,"Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,7/18/2002 11:00,7/2/2019 10:00,Temperate,10,6.969813174,148641,138281,2.60E-08,1.40E-08,1.22E-08,6.58E-08,6.23E-08,3.99E-08,3.46E-08,1.48E-07,8.56E-08,5.79E-08,5.18E-08,2.00E-07,8.56E-08,5.79E-08,5.18E-08,2.00E-07,8.56E-08,5.79E-08,5.18E-08,2.00E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_11,16.96700913
36.1,"France, Riou Nature Reserve",5.389873,43.171963,6/24/1999 12:00,11/20/2017 9:00,Temperate,5,29.92997893,161380,113079,3.12E-08,1.40E-08,1.10E-08,9.06E-08,1.03E-07,4.79E-08,4.37E-08,2.86E-07,1.39E-07,7.19E-08,6.86E-08,3.60E-07,1.39E-07,7.19E-08,6.86E-08,3.60E-07,1.39E-07,7.19E-08,6.86E-08,3.60E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,18.42157534
36.2,"France, Riou Nature Reserve",5.389873,43.171963,6/24/1999 12:00,11/20/2017 9:00,Temperate,10,1.309951667,161380,159266,3.16E-08,1.39E-08,1.07E-08,9.15E-08,1.02E-07,4.62E-08,4.04E-08,2.94E-07,1.36E-07,6.92E-08,7.06E-08,3.54E-07,1.36E-07,6.92E-08,7.06E-08,3.54E-07,1.36E-07,6.92E-08,7.06E-08,3.54E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,18.42157534
37.1,"France, Port-Cros National Park",6.377994,43.016405,6/17/1999 11:00,7/10/2018 9:00,Temperate,5,34.4897947,167119,109480,2.45E-08,1.35E-08,1.20E-08,6.57E-08,7.26E-08,3.91E-08,3.75E-08,1.89E-07,1.01E-07,5.80E-08,6.19E-08,2.54E-07,1.01E-07,5.80E-08,6.19E-08,2.54E-07,1.01E-07,5.80E-08,6.19E-08,2.54E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,19.07648402
37.2,"France, Port-Cros National Park",6.377994,43.016405,6/17/1999 11:00,7/10/2018 9:00,Temperate,10,13.5998899,167119,144391,3.92E-08,1.64E-08,1.21E-08,1.17E-07,9.10E-08,4.22E-08,3.92E-08,2.59E-07,1.19E-07,6.08E-08,6.29E-08,3.09E-07,1.19E-07,6.08E-08,6.29E-08,3.09E-07,1.19E-07,6.08E-08,6.29E-08,3.09E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,19.07648402
38.1,"France, Scandola Nature Reserve",8.54635,42.3802,5/15/2004 12:00,10/24/2018 9:00,Temperate,5,22.36001295,126601,98293,3.24E-08,1.64E-08,1.64E-08,8.09E-08,8.02E-08,4.68E-08,5.18E-08,1.83E-07,1.14E-07,7.15E-08,8.75E-08,2.49E-07,1.14E-07,7.15E-08,8.75E-08,2.49E-07,1.14E-07,7.15E-08,8.75E-08,2.49E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,14.45171233
38.2,"France, Scandola Nature Reserve",8.54635,42.3802,5/15/2004 12:00,10/24/2018 9:00,Temperate,10,7.439909637,126601,117182,3.99E-08,1.76E-08,1.64E-08,1.12E-07,8.74E-08,4.72E-08,5.06E-08,2.25E-07,1.18E-07,7.05E-08,7.90E-08,2.85E-07,1.18E-07,7.05E-08,7.90E-08,2.85E-07,1.18E-07,7.05E-08,7.90E-08,2.85E-07,Garrabou Joaquim,Same as PI,Garrabou Joaquim,spatial_block_13,14.45171233
49,"Tasmania, Bluff Hill Point",144.6082,-41.0041,5/31/2009 16:00,11/7/2011 13:00,Temperate,10,0,10680,10680,9.56E-09,7.89E-09,7.84E-09,1.79E-08,2.79E-08,2.32E-08,2.36E-08,5.06E-08,4.03E-08,3.36E-08,3.02E-08,7.66E-08,4.03E-08,3.36E-08,3.02E-08,7.66E-08,4.03E-08,3.36E-08,3.02E-08,7.66E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,2.438013699
50,"Tasmania, Cape Grim",144.6793,-40.6697,3/2/2010 19:00,11/10/2013 16:30,Temperate,10,0,29584,29584,9.70E-09,7.79E-09,7.58E-09,1.86E-08,2.77E-08,2.35E-08,2.31E-08,5.15E-08,3.92E-08,3.39E-08,3.43E-08,6.54E-08,3.92E-08,3.39E-08,3.43E-08,6.54E-08,3.92E-08,3.39E-08,3.43E-08,6.54E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,3.695605023
51,"Tasmania, Granville Harbour",145.0001,-41.7778,11/8/2009 16:00,3/29/2012 13:00,Temperate,10,31.3264526,10464,7186,1.15E-08,9.13E-09,9.28E-09,2.23E-08,3.17E-08,2.71E-08,2.67E-08,5.32E-08,4.17E-08,3.57E-08,3.77E-08,7.02E-08,4.17E-08,3.57E-08,3.77E-08,7.02E-08,4.17E-08,3.57E-08,3.77E-08,7.02E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,2.38869863
52,"Tasmania, Cape Sorell",145.1781,-42.209,6/21/2005 17:08,2/20/2018 14:00,Temperate,11.7,0,63630,63630,1.24E-08,1.00E-08,1.02E-08,2.31E-08,3.10E-08,2.75E-08,2.59E-08,5.47E-08,4.09E-08,3.66E-08,3.50E-08,7.14E-08,4.09E-08,3.66E-08,3.50E-08,7.14E-08,4.09E-08,3.66E-08,3.50E-08,7.14E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,12.67635464
53,"Tasmania, Stanley Nut",145.3092,-40.764,9/13/2005 13:33,3/13/2012 14:00,Temperate,8,0,16344,16344,1.07E-08,8.37E-09,8.72E-09,2.07E-08,3.07E-08,2.56E-08,2.68E-08,5.50E-08,4.33E-08,3.65E-08,3.92E-08,7.41E-08,4.33E-08,3.65E-08,3.92E-08,7.41E-08,4.33E-08,3.65E-08,3.92E-08,7.41E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_15,6.501421233
54,"Tasmania, Inner Saddle",145.8977,-43.3059,4/23/2008 21:00,4/21/2009 19:00,Temperate,10,0,4356,4356,8.25E-09,5.59E-09,5.24E-09,1.72E-08,2.46E-08,2.13E-08,2.10E-08,4.61E-08,3.31E-08,3.01E-08,3.11E-08,5.26E-08,3.31E-08,3.01E-08,3.11E-08,5.26E-08,3.31E-08,3.01E-08,3.11E-08,5.26E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,0.994292237
55,"Tasmania, New Harbour",146.154,-43.5184,3/9/2017 13:00,4/22/2018 14:00,Temperate,10,0,4909,4909,9.22E-09,6.98E-09,6.44E-09,1.96E-08,2.42E-08,2.02E-08,1.82E-08,4.47E-08,3.47E-08,2.94E-08,2.89E-08,6.82E-08,3.47E-08,2.94E-08,2.89E-08,6.82E-08,3.47E-08,2.94E-08,2.89E-08,6.82E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,1.1206621
56,"Tasmania, Mouldies Hole",146.9199,-43.5939,2/24/2005 16:00,12/11/2017 13:00,Temperate,6,0.585840349,54281,53963,8.59E-09,5.93E-09,6.08E-09,1.85E-08,2.10E-08,1.44E-08,1.66E-08,4.19E-08,2.82E-08,2.04E-08,2.29E-08,5.57E-08,2.82E-08,2.04E-08,2.29E-08,5.57E-08,2.82E-08,2.04E-08,2.29E-08,5.57E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,12.80239726
57,"Tasmania, George III Reef",146.9831,-43.5085,5/31/2006 20:00,3/18/2019 13:00,Temperate,10.2,21.33346292,61734,48564,6.75E-09,5.67E-09,5.51E-09,1.17E-08,1.79E-08,1.58E-08,1.54E-08,3.01E-08,2.47E-08,2.19E-08,2.12E-08,4.16E-08,2.47E-08,2.19E-08,2.12E-08,4.16E-08,2.47E-08,2.19E-08,2.12E-08,4.16E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,12.80468037
58,"Tasmania, Hogan Island",146.9962,-39.2099,4/10/2008 21:00,6/4/2017 18:59,Temperate,10,0,40105,40105,8.58E-09,5.98E-09,5.63E-09,1.35E-08,2.13E-08,1.63E-08,1.48E-08,4.02E-08,3.00E-08,2.41E-08,2.29E-08,5.63E-08,3.00E-08,2.41E-08,2.29E-08,5.63E-08,3.00E-08,2.41E-08,2.29E-08,5.63E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_14,9.15593417
59,"Tasmania, One Tree Point",147.3866,-43.1087,1/30/2006 16:58,12/17/2012 13:00,Temperate,8,0,36899,36899,1.52E-08,9.85E-09,9.50E-09,3.63E-08,3.62E-08,2.91E-08,2.86E-08,7.34E-08,4.65E-08,3.88E-08,3.93E-08,8.91E-08,4.65E-08,3.88E-08,3.93E-08,8.91E-08,4.65E-08,3.88E-08,3.93E-08,8.91E-08,Porteus Michael,IMAS Data Portal,Porteus Michael,spatial_block_10,6.884478691
