"","X","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","climate_classification","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc","annual_a_mean","annual_gm_mean","annual_median","annual_ninetieth_perc","contributor","database","study","spatial_blocks","duration_in_years"
"17",17,12.1,"Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2001-03-18 19:00:00","2003-03-29 00:50:00","Tropical",5,46.0195504521746,106596,57541,3.94441624505494e-08,3.81142887577016e-08,3.5318288e-08,6.55791837e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",2.02806316590563
"18",18,12.2,"Belize, Stann Creek, Manatee Cay",-88.187625,16.665048,"2000-08-05 19:10:00","2001-03-18 16:40:00","Tropical",10,0,32386,32386,9.03733542053571e-08,8.13895222141099e-08,7.8934787e-08,1.52101511e-07,1.8194643871875e-07,1.71818893029111e-07,1.73097015e-07,2.489536172e-07,2.3266981625e-07,2.25528558394794e-07,2.22537504e-07,2.889456235e-07,2.76980003428571e-07,2.69721776706841e-07,2.56247689e-07,3.618065554e-07,NA,NA,NA,NA,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",0.61615296803653
"19",19,13,"Belize, Toledo, Sapodilla Cayes",-88.57228,16.19172,"2002-06-14 14:30:00","2007-11-12 19:30:00","Tropical",5,12.4183244674391,164676,144226,5.5478662984837e-08,5.06606308309257e-08,5.3586621e-08,8.39639082e-08,1.12781891769737e-07,1.08446372137732e-07,1.106741595e-07,1.536392381e-07,1.45014150460526e-07,1.39878205686769e-07,1.429469045e-07,2.02785606e-07,1.96077236e-07,1.89984637796594e-07,2.02088596e-07,2.566193872e-07,5.16339895e-07,5.10535638853768e-07,5.40943423e-07,5.832385142e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",5.41700913242009
"20",20,14,"Belize, Toledo, Snake Cayes",-88.26666,16.108138,"2002-07-12 12:30:00","2007-12-10 17:45:00","Tropical",5,0.570745467931102,137189,136406,4.23801740955975e-08,3.87381159553387e-08,3.89590635e-08,6.71596096e-08,8.76969021982379e-08,8.38534387352402e-08,8.5314349e-08,1.249300044e-07,1.15487523309735e-07,1.11027066006599e-07,1.13155885e-07,1.621874548e-07,1.52770665134615e-07,1.47689176451275e-07,1.543063435e-07,1.953001766e-07,4.6870105925e-07,4.62705590940028e-07,4.851546615e-07,5.379126991e-07,"Helmuth Brian","Same as PI","Helmuth Brian","spatial_block_1",5.41703767123288
"21",21,25.1,"China",117.4844444,23.65277778,"2018-07-01 10:30:00","2018-09-25 09:30:00","Subtropical",4,14.7322510298037,4127,3519,4.5509361875e-08,3.88944565235401e-08,4.15536705e-08,7.75191713e-08,1.30914399333333e-07,1.20670609684934e-07,1.09954824e-07,2.164108994e-07,1.7545092325e-07,1.66572528889012e-07,1.849722725e-07,2.237235969e-07,2.35284829e-07,2.30590686002638e-07,2.35284829e-07,2.726961538e-07,NA,NA,NA,NA,"Dong Yunwei","Same as PI","Dong Yunwei","spatial_block_3",0.235502283105023
"22",22,25.2,"China",117.4844444,23.65277778,"2018-07-01 10:30:00","2018-09-25 09:30:00","Subtropical",7,5.57305548824812,4127,3897,4.57018746025641e-08,3.90970679913937e-08,4.2439037e-08,7.7627429e-08,1.281996775e-07,1.19391675364309e-07,1.015710895e-07,2.127221696e-07,1.763098626e-07,1.70125728897491e-07,1.79648247e-07,2.1981026e-07,2.37862635e-07,2.33203802808797e-07,2.37862635e-07,2.753400478e-07,NA,NA,NA,NA,"Dong Yunwei","Same as PI","Dong Yunwei","spatial_block_3",0.235502283105023
"23",23,25.3,"China",117.4844444,23.65277778,"2018-07-01 10:30:00","2018-09-25 09:30:00","Subtropical",11.5,14.7322510298037,4127,3519,4.71995343888889e-08,4.09471109110427e-08,4.2534808e-08,8.03426435e-08,1.33146786444444e-07,1.24009982450374e-07,1.0346368e-07,2.139604458e-07,1.7931211825e-07,1.71572349926174e-07,1.871916815e-07,2.278152231e-07,2.40605108e-07,2.36792085218703e-07,2.40605108e-07,2.747373344e-07,NA,NA,NA,NA,"Dong Yunwei","Same as PI","Dong Yunwei","spatial_block_3",0.235502283105023
"24",24,26.1,"China",117.5094444,23.6375,"2019-06-26 11:20:00","2020-05-30 12:31:00","Subtropical",0,33.557241579278,20693,13749,1.32387774946565e-07,6.24015651413351e-08,5.8247784e-08,4.55620953e-07,1.231023224e-07,1.17460956416737e-07,1.130396595e-07,1.739063882e-07,1.800757982e-07,1.71174752297513e-07,1.89974796e-07,2.283634136e-07,2.75103598e-07,2.5736636075404e-07,2.75103598e-07,3.528500412e-07,NA,NA,NA,NA,"Dong Yunwei","Same as PI","Dong Yunwei","spatial_block_3",0.928902207001522
"25",25,27,"Israel, Hadera Station",34.86307,32.47053,"2011-03-22 08:01:00","2020-06-10 04:51:00","Subtropical",12,38.2000370744166,485510,300045,4.47068163307241e-08,2.980057953153e-08,2.931243e-08,1.032104766e-07,1.29798188513514e-07,1.05251717769474e-07,1.08003219e-07,1.92895674e-07,1.87794276944444e-07,1.55593530630363e-07,1.462122725e-07,2.810052504e-07,2.79687722375e-07,2.39450578243531e-07,2.290646845e-07,4.446353972e-07,NA,NA,NA,NA,"Guy-Haim Tamar","ISRAMAR","Guy-Haim Tamar","spatial_block_5",9.22703576864536
"26",26,28,"Israel, Ashkelon Station",34.49917,31.63472,"2012-07-27 04:50:00","2020-06-10 04:51:00","Subtropical",11,53.1398994266061,414026,194013,3.89115497832957e-08,2.76204777248638e-08,2.6757434e-08,8.15650182e-08,8.58766531333333e-08,6.93926331511796e-08,6.337815e-08,1.625326564e-07,1.306994922e-07,1.13514655430118e-07,1.12986389e-07,2.053313932e-07,2.04252115714286e-07,1.90063482340242e-07,2.11591293e-07,2.726838324e-07,NA,NA,NA,NA,"Guy-Haim Tamar","ISRAMAR","Guy-Haim Tamar","spatial_block_5",7.87671423135464
"27",27,29,"South Africa, Tsitsikamma ",23.8997,-34.0228,"1991-06-29 14:00:00","2015-11-17 11:00:00","Subtropical",10,0.040506719775477,207373,207289,3.71245238249392e-08,2.27633117216043e-08,2.1930382e-08,8.93554402e-08,1.10315195675851e-07,7.92917297455386e-08,8.4760076e-08,2.410039381e-07,1.49263980251216e-07,1.15595429701298e-07,1.23032167e-07,3.07376571e-07,1.96912930222222e-07,1.65038691900421e-07,1.801418725e-07,3.511166798e-07,4.06586342391304e-07,4.03556818245031e-07,4.16473536e-07,4.602115864e-07,"Duncan Murray","Same as PI","Duncan Murray","spatial_block_7",24.402397260274
"28",28,30.1,"South Africa, Tsitsikamma ",23.8752,-34.0453,"1997-07-31 08:00:00","2004-12-31 21:00:00","Subtropical",12,0.354162283470089,57036,56834,4.2342101227446e-08,2.4557902990417e-08,2.4657552e-08,1.05191913e-07,1.14563350227139e-07,8.06787688562783e-08,8.6932688e-08,2.520819966e-07,1.53816236289941e-07,1.18585595193225e-07,1.24533658e-07,2.952856316e-07,2.06647973493671e-07,1.75277509939429e-07,1.97535289e-07,3.690162162e-07,4.204421805e-07,4.19525995908052e-07,4.27709697e-07,4.46780727e-07,"Duncan Murray","Same as PI","Duncan Murray","spatial_block_7",7.42614155251141
"29",29,31,"South Africa, Mangold ",25.5867,-34.0487,"1992-01-28 15:00:00","2005-11-17 10:00:00","Subtropical",5,5.63810959965652,95493,90109,4.48768613142324e-08,3.07364136975536e-08,2.8413123e-08,1.00706997e-07,1.30239763816017e-07,1.00467478003959e-07,1.038097345e-07,2.745393063e-07,1.6607641175431e-07,1.35803498878518e-07,1.35757058e-07,3.245690358e-07,2.07070298844037e-07,1.78372476516486e-07,1.87218135e-07,3.73842931e-07,4.19055191777778e-07,4.17094305225211e-07,4.20058462e-07,4.572883872e-07,"Duncan Murray","Same as PI","Duncan Murray","spatial_block_7",13.8131278538813
"30",30,32,"United Kingdom, English Channel",-4.13,50.15,"2009-03-17 01:05:00","2019-11-18 10:05:00","Temperate",1.5,18.1756827691708,66677,54558,1.50672171862745e-08,1.01555886145566e-08,1.0448172e-08,3.34907432e-08,4.42698164090909e-08,3.23205764356144e-08,3.3332819e-08,9.14575509e-08,6.23671224695652e-08,4.79940272254882e-08,4.6407945e-08,1.339146684e-07,9.11615785e-08,7.79592872638955e-08,7.65473755e-08,1.554346644e-07,NA,NA,NA,NA,"Queiros Ana","Western Channel Observatory","Queiros Ana","spatial_block_9",10.6805936073059
"31",31,33.1,"Spain, Cap de Creus North (Portalo)",3.286557,42.33346,"2007-05-22 18:00:00","2019-06-28 10:00:00","Temperate",5,17.0602486872743,106077,87980,2.07442405543419e-08,1.30660431093131e-08,1.15925785e-08,4.63777841e-08,5.83958318278388e-08,4.20539917685266e-08,3.887272e-08,1.24672418e-07,8.4859379729927e-08,6.36426297457489e-08,5.7896663e-08,1.809723092e-07,1.2614009065625e-07,9.93787067707299e-08,9.8274919e-08,2.518436014e-07,4.499114395e-07,4.45527484168303e-07,4.460854675e-07,5.205695505e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_11",12.1086757990868
"32",32,33.2,"Spain, Cap de Creus North (Portalo)",3.286557,42.33346,"2007-05-22 18:00:00","2019-06-28 10:00:00","Temperate",10,9.80042799098768,106077,95681,2.42358172619945e-08,1.36969753763108e-08,1.1926482e-08,5.6766588e-08,6.9740516769953e-08,4.663590486203e-08,3.95978405e-08,1.764249465e-07,9.56828477757009e-08,6.86026049134765e-08,6.2232698e-08,2.192141536e-07,1.37805391980198e-07,1.04606864555902e-07,1.0651999e-07,2.89328896e-07,4.35561967222222e-07,4.31984767680613e-07,4.24508858e-07,5.084949724e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_11",12.1086757990868
"33",33,34.1,"Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,"2007-05-23 17:00:00","2018-11-22 13:00:00","Temperate",5,21.350075378878,100824,79298,3.09830547595397e-08,1.66541604061216e-08,1.5020004e-08,8.22702889e-08,6.794308425e-08,4.47168090085572e-08,4.8432121e-08,1.48251641e-07,9.08426030576923e-08,6.31887482227743e-08,6.3241486e-08,1.885669861e-07,1.32559559795918e-07,9.80020427075256e-08,1.12839368e-07,2.518041964e-07,4.899323508e-07,4.86568604713885e-07,5.32178767e-07,5.374234684e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_11",11.5091324200913
"34",34,34.2,"Spain, Cap de Creus South (El-Gat)",3.261413,42.236976,"2007-05-23 17:00:00","2018-11-22 13:00:00","Temperate",10,25.460207887011,100824,75154,3.76166266254394e-08,1.81489526727473e-08,1.6744412e-08,9.92254818e-08,8.35481263905325e-08,5.32043593217278e-08,6.3062035e-08,1.791427922e-07,1.09272319535714e-07,7.40168499805162e-08,9.2334333e-08,2.186192845e-07,1.53379807325e-07,1.11178537275349e-07,1.3639964e-07,2.829349773e-07,4.59012843e-07,4.56629216729329e-07,4.35289913e-07,5.07506045e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_11",11.5091324200913
"35",35,35.1,"Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,"2002-07-18 11:00:00","2019-07-02 10:00:00","Temperate",5,21.8997450232439,148641,116089,2.42037099944146e-08,1.38065742717572e-08,1.26242295e-08,5.84693586e-08,6.61542934315353e-08,4.15979415818179e-08,3.5648993e-08,1.5490161e-07,9.19868837933884e-08,6.21896530681344e-08,5.143531e-08,1.92012532e-07,1.36678255842105e-07,9.82535864553404e-08,1.08595434e-07,2.79962328e-07,5.06522188333333e-07,5.04412835919921e-07,4.952155735e-07,5.65454373e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_11",16.9670091324201
"36",36,35.2,"Spain, Medes Islands (Pota-del-Llop)",3.2254,42.0497,"2002-07-18 11:00:00","2019-07-02 10:00:00","Temperate",10,6.96981317402332,148641,138281,2.60751024715998e-08,1.40420561604056e-08,1.219888e-08,6.59941698000001e-08,6.38030074289898e-08,4.00262431617997e-08,3.3986533e-08,1.540739076e-07,8.80881021495601e-08,5.85156815137063e-08,5.1587156e-08,2.15104565e-07,1.2642098184375e-07,9.11460968657658e-08,9.62507975e-08,2.924900584e-07,4.55555420666667e-07,4.51694703492172e-07,4.46431169e-07,5.256533708e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_11",16.9670091324201
"37",37,36.1,"France, Riou Nature Reserve",5.389873,43.171963,"1999-06-24 12:00:00","2017-11-20 09:00:00","Temperate",5,29.929978931714,161380,113079,3.12052722825302e-08,1.40140065616832e-08,1.1061682e-08,9.0633185e-08,4.17822541e-07,2.65487258350492e-07,4.17822541e-07,6.75929113e-07,7.40455756e-07,7.40455756e-07,7.40455756e-07,7.40455756e-07,7.40455756e-07,7.40455756e-07,7.40455756e-07,7.40455756e-07,NA,NA,NA,NA,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_13",18.4215753424658
"38",38,36.2,"France, Riou Nature Reserve",5.389873,43.171963,"1999-06-24 12:00:00","2017-11-20 09:00:00","Temperate",10,1.30995166687322,161380,159266,3.16583597714803e-08,1.39203406018599e-08,1.077654e-08,9.17236772e-08,1.04395855329004e-07,4.84427422591931e-08,4.355787e-08,2.970425789e-07,1.40142606295896e-07,7.28814857335717e-08,7.5682474e-08,3.553533044e-07,1.84113619206422e-07,1.12483905599697e-07,1.387396465e-07,4.196823338e-07,4.95601468944444e-07,4.90928143756206e-07,4.987338495e-07,5.649067996e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_13",18.4215753424658
"39",39,37.1,"France, Port-Cros National Park",6.377994,43.016405,"1999-06-17 11:00:00","2018-07-10 09:00:00","Temperate",5,34.4897946971918,167119,109480,2.47833711556531e-08,1.35836100860866e-08,1.2013492e-08,6.63927766000001e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_13",19.0764840182648
"40",40,37.2,"France, Port-Cros National Park",6.377994,43.016405,"1999-06-17 11:00:00","2018-07-10 09:00:00","Temperate",10,13.5998898988146,167119,144391,3.93237005269551e-08,1.64211929271606e-08,1.2076885e-08,1.174763585e-07,9.19195849025271e-08,4.08683627531365e-08,3.7236031e-08,2.637880931e-07,1.20859562280576e-07,6.03462354448481e-08,6.0215754e-08,3.231525113e-07,1.69098515052239e-07,9.8413266136375e-08,1.001929095e-07,4.0113847e-07,5.23373526333333e-07,5.20363316516355e-07,5.29493294e-07,5.934524874e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_13",19.0764840182648
"41",41,38.1,"France, Scandola Nature Reserve",8.54635,42.3802,"2004-05-15 12:00:00","2018-10-24 09:00:00","Temperate",5,22.3600129540841,126601,98293,3.24816552089954e-08,1.63707745881139e-08,1.6472801e-08,8.1323751e-08,9.59982506341463e-08,5.30564708669291e-08,5.6361449e-08,2.211246828e-07,1.3830902087619e-07,8.32201205740526e-08,9.8293631e-08,3.298998368e-07,1.95162346795918e-07,1.32849106186192e-07,1.51127483e-07,4.278780172e-07,6.462630998e-07,6.38836999630954e-07,6.6245827e-07,7.292129254e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_13",14.4517123287671
"42",42,38.2,"France, Scandola Nature Reserve",8.54635,42.3802,"2004-05-15 12:00:00","2018-10-24 09:00:00","Temperate",10,7.43990963736463,126601,117182,3.99846667686001e-08,1.76346984679405e-08,1.6426815e-08,1.129569554e-07,8.98979207504394e-08,4.78989794098957e-08,5.0337683e-08,2.335158758e-07,1.21420420868512e-07,7.15000999584745e-08,7.4014414e-08,2.912581352e-07,1.74144204074074e-07,1.14379552445789e-07,1.349142e-07,4.166286804e-07,5.77640606090909e-07,5.73329467115303e-07,6.00208036e-07,6.49271742e-07,"Garrabou Joaquim","Same as PI","Garrabou Joaquim","spatial_block_13",14.4517123287671
"43",43,49,"Tasmania, Bluff Hill Point",144.6082,-41.0041,"2009-05-31 16:00:00","2011-11-07 13:00:00","Temperate",10,0,10680,10680,9.57409749943757e-09,7.90254780823339e-09,7.853689e-09,1.79061124e-08,2.79445545748031e-08,2.32510076796923e-08,2.3838766e-08,5.06678678e-08,4.03211151904762e-08,3.3557829497029e-08,3.0128133e-08,7.66915428e-08,5.56772159655172e-08,4.80233815339468e-08,4.4840149e-08,9.34097062e-08,1.882812655e-07,1.86194163747992e-07,1.882812655e-07,2.106465003e-07,"Porteus Michael","IMAS Data Portal","Porteus Michael","spatial_block_15",2.43801369863014
"44",44,50,"Tasmania, Cape Grim",144.6793,-40.6697,"2010-03-02 19:00:00","2013-11-10 16:30:00","Temperate",10,0,29584,29584,9.70674404305865e-09,7.7973919929218e-09,7.580909e-09,1.8597553e-08,2.7858954921875e-08,2.35902394937261e-08,2.32221555e-08,5.15072559e-08,3.9312706375e-08,3.39749692218321e-08,3.44839275e-08,6.54709175e-08,5.95339555e-08,5.20913901496738e-08,5.83256435e-08,9.94101912e-08,2.69221499e-07,2.67794636708762e-07,2.85594779e-07,2.89878955e-07,"Porteus Michael","IMAS Data Portal","Porteus Michael","spatial_block_15",3.69560502283105
